path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: aa , value: 98
key: ab , value: 56
key: ac , value: 277
key: ad , value: 151
key: ae , value: 36
key: af , value: 139
key: ag , value: 168
key: ai , value: 66
key: al , value: 461
key: am , value: 244
key: an , value: 428
key: ao , value: 124
key: ap , value: 291
key: c2 , value: 6
key: aq , value: 24
key: ar , value: 404
key: as , value: 212
key: at , value: 784
key: au , value: 49
key: av , value: 200
key: aw , value: 18
key: ay , value: 12
key: az , value: 97
key: ba , value: 61
key: bb , value: 72
key: be , value: 110
key: bi , value: 74
key: bj , value: 6
key: bl , value: 19
key: bm , value: 6
key: bo , value: 6
key: d3 , value: 7
key: br , value: 12
key: bs , value: 25
key: bu , value: 6
key: ca , value: 195
key: cb , value: 6
key: cc , value: 55
key: ce , value: 204
key: ch , value: 208
key: ci , value: 207
key: ck , value: 6
key: cl , value: 30
key: cm , value: 6
key: cn , value: 48
key: co , value: 568
key: e1 , value: 7
key: cp , value: 19
key: cq , value: 12
key: cr , value: 61
key: e4 , value: 7
key: cs , value: 19
key: e6 , value: 7
key: ct , value: 6
key: cu , value: 60
key: èd , value: 7
key: da , value: 165
key: dc , value: 24
key: de , value: 523
key: èi , value: 7
key: df , value: 6
key: èl , value: 12
key: di , value: 439
key: èn , value: 7
key: dm , value: 6
key: èr , value: 7
key: do , value: 163
key: ès , value: 30
key: dp , value: 7
key: èu , value: 14
key: du , value: 66
key: dv , value: 18
key: dw , value: 12
key: dy , value: 18
key: ea , value: 217
key: eb , value: 60
key: ec , value: 251
key: ed , value: 378
key: ee , value: 80
key: ef , value: 30
key: eg , value: 108
key: eh , value: 18
key: ei , value: 190
key: ej , value: 12
key: el , value: 602
key: aè , value: 6
key: em , value: 295
key: en , value: 601
key: eo , value: 49
key: ep , value: 200
key: eq , value: 30
key: er , value: 729
key: es , value: 316
key: et , value: 190
key: eu , value: 80
key: ev , value: 109
key: ex , value: 36
key: ez , value: 6
key: fa , value: 81
key: fd , value: 6
key: fe , value: 43
key: ff , value: 31
key: fi , value: 134
key: fl , value: 12
key: fo , value: 54
key: fr , value: 6
key: ft , value: 25
key: fu , value: 36
key: ga , value: 24
key: gc , value: 6
key: ge , value: 84
key: gf , value: 6
key: gg , value: 96
key: gi , value: 163
key: gl , value: 145
key: gn , value: 24
key: go , value: 12
key: gr , value: 84
key: gu , value: 48
key: cò , value: 6
key: ìd , value: 6
key: ha , value: 54
key: hc , value: 6
key: he , value: 153
key: ìl , value: 6
key: hi , value: 61
key: ìn , value: 6
key: dè , value: 7
key: hl , value: 6
key: ho , value: 6
key: hu , value: 6
key: ia , value: 393
key: ib , value: 93
key: ic , value: 452
key: id , value: 194
key: ie , value: 152
key: if , value: 81
key: ig , value: 50
key: ii , value: 30
key: il , value: 420
key: eè , value: 13
key: im , value: 176
key: in , value: 470
key: io , value: 390
key: ip , value: 182
key: iq , value: 18
key: ir , value: 48
key: is , value: 477
key: it , value: 219
key: iu , value: 79
key: iv , value: 246
key: ix , value: 33
key: iz , value: 73
key: ja , value: 12
key: je , value: 6
key: l1 , value: 50
key: jo , value: 12
key: l2 , value: 19
key: l4 , value: 6
key: l5 , value: 6
key: l8 , value: 6
