path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: cce , value: 18
key: cci , value: 13
key: cch , value: 12
key: cco , value: 6
key: tea , value: 30
key: ccp , value: 6
key: ted , value: 38
key: tec , value: 67
key: ce6 , value: 7
key: tee , value: 6
key: teg , value: 12
key: tei , value: 44
key: tel , value: 42
key: xmo , value: 6
key: ten , value: 86
key: tem , value: 174
key: tep , value: 78
key: ter , value: 71
key: teq , value: 6
key: gle , value: 6
key: kti , value: 6
key: tet , value: 19
key: tes , value: 24
key: tev , value: 24
key: gli , value: 139
key: teu , value: 6
key: tfe , value: 6
key: xnu , value: 6
key: cec , value: 12
key: cee , value: 6
key: ced , value: 43
key: cel , value: 19
key: ceo , value: 6
key: cen , value: 50
key: ces , value: 30
key: cer , value: 19
key: ceu , value: 6
key: cev , value: 6
key: tgi , value: 6
key: gni , value: 12
key: gno , value: 12
key: 8ri , value: 6
key: xpu , value: 6
key: gom , value: 6
key: gon , value: 6
key: tib , value: 7
key: tia , value: 24
key: tid , value: 43
key: tic , value: 67
key: tif , value: 19
key: tie , value: 24
key: pad , value: 6
key: pac , value: 12
key: tii , value: 18
key: til , value: 31
key: pag , value: 12
key: tin , value: 18
key: tim , value: 31
key: tip , value: 25
key: pal , value: 18
key: tio , value: 18
key: 0co , value: 7
key: tiq , value: 18
key: tit , value: 12
key: tis , value: 18
key: tiv , value: 160
key: par , value: 66
key: che , value: 153
key: pat , value: 86
key: pas , value: 6
key: chi , value: 55
key: paz , value: 6
key: 0de , value: 6
key: cia , value: 68
key: cic , value: 12
key: cie , value: 18
key: cid , value: 6
key: cim , value: 6
key: cin , value: 43
key: cip , value: 18
key: xse , value: 6
key: cis , value: 24
key: cit , value: 6
key: xsn , value: 6
key: pch , value: 6
key: gra , value: 84
key: xst , value: 6
key: pcm , value: 6
key: 0eu , value: 6
key: xta , value: 6
key: xtg , value: 6
key: xtf , value: 6
key: pda , value: 6
key: pdf , value: 6
key: pèl , value: 6
key: xts , value: 12
key: xtu , value: 6
key: ckt , value: 6
key: pen , value: 61
key: cla , value: 6
key: per , value: 247
key: pet , value: 19
key: pes , value: 6
key: cli , value: 6
key: xve , value: 6
key: clo , value: 12
key: clu , value: 6
key: gua , value: 30
key: cma , value: 6
key: gui , value: 12
key: e10 , value: 7
key: gur , value: 6
key: tob , value: 6
key: toa , value: 43
key: tod , value: 68
key: toc , value: 50
key: tof , value: 13
key: toe , value: 7
key: ciò , value: 6
key: tog , value: 6
key: toi , value: 25
key: tol , value: 19
key: ton , value: 20
key: tom , value: 12
key: top , value: 18
key: còd , value: 6
key: too , value: 6
key: tor , value: 114
key: toq , value: 6
key: tot , value: 18
key: tos , value: 111
key: tou , value: 13
key: la1 , value: 18
key: cni , value: 12
key: cno , value: 36
key: xxs , value: 6
key: coa , value: 12
key: coc , value: 12
key: pho , value: 6
key: cob , value: 6
key: coe , value: 6
key: cod , value: 12
key: com , value: 128
key: col , value: 42
key: coo , value: 6
key: con , value: 159
key: cop , value: 18
key: cos , value: 137
key: cor , value: 24
key: pia , value: 54
key: cot , value: 6
key: pid , value: 12
key: lab , value: 12
key: laa , value: 12
key: lad , value: 12
key: lac , value: 30
key: laf , value: 31
key: lag , value: 18
key: pin , value: 12
key: lal , value: 13
key: pio , value: 12
key: lan , value: 42
key: cpe , value: 13
key: lam , value: 36
key: lap , value: 48
key: pit , value: 6
key: lar , value: 55
key: lat , value: 36
key: las , value: 55
key: lav , value: 19
key: tra , value: 92
key: law , value: 18
key: laz , value: 6
key: tre , value: 18
key: cpu , value: 6
key: tri , value: 12
key: tro , value: 18
key: 200 , value: 13
key: 201 , value: 18
key: tru , value: 12
key: tsa , value: 6
key: tsc , value: 6
key: cqu , value: 12
key: lca , value: 12
key: lce , value: 6
key: lch , value: 6
key: tst , value: 18
key: lcl , value: 6
key: e4c , value: 7
key: cre , value: 12
key: lco , value: 18
key: cri , value: 43
key: lcu , value: 18
key: tta , value: 72
key: cro , value: 6
key: tte , value: 25
key: pla , value: 12
key: ple , value: 118
key: tti , value: 42
key: pli , value: 42
key: tto , value: 94
key: ldi , value: 12
key: ttu , value: 31
key: cso , value: 13
key: ldw , value: 6
key: tud , value: 6
key: csu , value: 6
key: lea , value: 49
key: tul , value: 13
key: led , value: 30
key: lec , value: 6
key: tun , value: 6
key: lef , value: 6
key: lee , value: 30
key: leh , value: 12
key: leg , value: 12
key: tur , value: 37
key: lei , value: 19
key: lel , value: 42
key: tut , value: 6
key: len , value: 13
